brand_name,총계,source_url,average_sales_per_3_3sqm,store_count,average_sales_per_3_3sqm_s,store_count_s,총계_s,cat,industry_middle
에바돈가츠,59020,https://frandoor.co.kr/brands?search=%EC%97%90%EB%B0%94%EB%8F%88%EA%B0%80%EC%B8%A0,17729.0,1.0,2,1,2,212,기타 외식
따띠삼겹,31640,https://frandoor.co.kr/brands?search=%EB%94%B0%EB%9D%A0%EC%82%BC%EA%B2%B9,18065.0,26.0,2,2,2,222,한식
커피니,52300,https://frandoor.co.kr/brands?search=%EC%BB%A4%ED%94%BC%EB%8B%88,7011.0,9.0,1,1,2,112,커피
날쌘카페,71250,https://frandoor.co.kr/brands?search=%EB%82%A0%EC%8C%98%EC%B9%B4%ED%8E%98,18810.0,5.0,2,1,1,211,커피
정동진칼국수,7150,https://frandoor.co.kr/brands?search=%EC%A0%95%EB%8F%99%EC%A7%84%EC%B9%BC%EA%B5%AD%EC%88%98,16841.0,4.0,2,1,2,212,기타 외식
명가통닭,23500,https://frandoor.co.kr/brands?search=%EB%AA%85%EA%B0%80%ED%86%B5%EB%8B%AD,14158.0,39.0,1,2,2,122,치킨
국선생,85000,LLM 추정값,36185.0,14.0,2,2,1,221,기타도소매
소담촌,53060,https://frandoor.co.kr/brands?search=%EC%86%8C%EB%8B%B4%EC%B4%8C,13703.0,25.0,1,2,2,122,기타 외식
소플러스,44500,https://frandoor.co.kr/brands?search=%EC%86%8C%ED%94%8C%EB%9F%AC%EC%8A%A4,23873.0,3.0,2,1,2,212,한식
다복향 마라탕,50600,https://frandoor.co.kr/brands?search=%EB%8B%A4%EB%B3%B5%ED%96%A5%20%EB%A7%88%EB%9D%BC%ED%83%95,14154.0,6.0,1,1,2,112,기타 외국식
맛닭꼬,76890,https://frandoor.co.kr/brands?search=%EB%A7%9B%EB%8B%AD%EA%BC%AC,20094.0,63.0,2,2,1,221,치킨
새로클린,30000,LLM 추정값,17736.0,17.0,2,2,2,222,세탁
153구포국수,88200,https://frandoor.co.kr/brands?search=153%EA%B5%AC%ED%8F%AC%EA%B5%AD%EC%88%98,38079.0,31.0,2,2,1,221,한식
원유로스페셜티커피,81650,https://frandoor.co.kr/brands?search=%EC%9B%90%EC%9C%A0%EB%A1%9C%EC%8A%A4%ED%8E%98%EC%85%9C%ED%8B%B0%EC%BB%A4%ED%94%BC,15427.0,2.0,1,1,1,111,커피
춘리마라탕,93140,https://frandoor.co.kr/brands?search=%EC%B6%98%EB%A6%AC%EB%A7%88%EB%9D%BC%ED%83%95,42440.0,58.0,2,2,1,221,중식
쉬즈베이글 커피,70890,https://frandoor.co.kr/brands?search=%EC%89%AC%EC%A6%88%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%BB%A4%ED%94%BC,29176.0,28.0,2,2,1,221,기타 외식
오레노카츠,14760,https://frandoor.co.kr/brands?search=%EC%98%A4%EB%A0%88%EB%85%B8%EC%B9%B4%EC%B8%A0,17707.0,12.0,2,2,2,222,일식
압구정 봉구비어,68100,https://frandoor.co.kr/brands?search=%EC%95%95%EA%B5%AC%EC%A0%95%20%EB%B4%89%EA%B5%AC%EB%B9%84%EC%96%B4,11031.0,60.0,1,2,2,122,주점
구름계란덮밥,59300,https://frandoor.co.kr/brands?search=%EA%B5%AC%EB%A6%84%EA%B3%84%EB%9E%80%EB%8D%AE%EB%B0%A5,33471.0,16.0,2,2,2,222,한식
준코노래타운,44320,https://frandoor.co.kr/brands?search=%EC%A4%80%EC%BD%94%EB%85%B8%EB%9E%98%ED%83%80%EC%9A%B4,10489.0,8.0,1,1,2,112,주점
아리아케어 방문요양센터,40000,LLM 추정값,42423.0,19.0,2,2,2,222,기타 서비스
어린이천문대,250000,LLM 추정값,5268.0,21.0,1,2,1,121,기타 교육
어린이천문대,250000,LLM 추정값,5481.0,19.0,1,2,1,121,기타 교육
어린이천문대,250000,LLM 추정값,5268.0,21.0,1,2,1,121,기타 교육
어린이천문대,250000,LLM 추정값,5481.0,19.0,1,2,1,121,기타 교육
우마이타코야끼,47200,https://frandoor.co.kr/brands?search=%EC%9A%B0%EB%A7%88%EC%9D%B4%ED%83%80%EC%BD%94%EC%95%BC%EB%81%BC,24372.0,9.0,2,1,2,212,일식
ERC영어독서클럽,30000,LLM 추정값,3159.0,23.0,1,2,2,122,교육 (외국어)
라와,56700,https://frandoor.co.kr/brands?search=%EB%9D%BC%EC%99%80,23055.0,16.0,2,2,2,222,중식
NAN갈비장터,38950,https://frandoor.co.kr/brands?search=NAN%EA%B0%88%EB%B9%84%EC%9E%A5%ED%84%B0,9229.0,11.0,1,1,2,112,치킨
신나게쌈빠찹쌀강정,27400,https://frandoor.co.kr/brands?search=%EC%8B%A0%EB%82%98%EA%B2%8C%EC%8C%88%EB%B9%A0%EC%B0%B9%EC%8C%80%EA%B0%95%EC%A0%95,18634.0,4.0,2,1,2,212,기타 외식
양심소,86500,https://frandoor.co.kr/brands?search=%EC%96%91%EC%8B%AC%EC%86%8C,26918.0,2.0,2,1,1,211,한식
컵넛(cupnut),86500,https://frandoor.co.kr/brands?search=%EC%BB%B5%EB%84%9B%28cupnut%29,17963.0,1.0,2,1,1,211,제과제빵
통큰갈비,3580,https://frandoor.co.kr/brands?search=%ED%86%B5%ED%81%B0%EA%B0%88%EB%B9%84,15564.0,6.0,1,1,2,112,기타 외식
야끼니꾸소량,11750,https://frandoor.co.kr/brands?search=%EC%95%BC%EB%81%BC%EB%8B%88%EA%BE%B8%EC%86%8C%EB%9F%89,18396.0,11.0,2,1,2,212,일식
돈까스회관,70100,https://frandoor.co.kr/brands?search=%EB%8F%88%EA%B9%8C%EC%8A%A4%ED%9A%8C%EA%B4%80,21753.0,4.0,2,1,1,211,기타 외식
에코폰,50000,LLM 추정값,12862.0,18.0,1,2,2,122,기타도소매
밥스토랑,5930,https://frandoor.co.kr/brands?search=%EB%B0%A5%EC%8A%A4%ED%86%A0%EB%9E%91,21171.0,66.0,2,2,2,222,기타 외식
세컨페이스,100000,LLM 추정값,9467.0,1.0,1,1,1,111,안경
쌈촌,62800,https://frandoor.co.kr/brands?search=%EC%8C%88%EC%B4%8C,12758.0,5.0,1,1,2,112,기타 외국식
버무리떡볶이,61530,https://frandoor.co.kr/brands?search=%EB%B2%84%EB%AC%B4%EB%A6%AC%EB%96%A1%EB%B3%B6%EC%9D%B4,17222.0,7.0,2,1,2,212,분식
청기와타운,58000,https://frandoor.co.kr/brands?search=%EC%B2%AD%EA%B8%B0%EC%99%80%ED%83%80%EC%9A%B4,33053.0,24.0,2,2,2,222,한식
가치인 독서논술&디베이트,25000,LLM 추정값,3864.0,3.0,1,1,2,112,기타 교육
옵티멈존PC카페,300000,LLM 추정값,6251.0,21.0,1,2,1,121,PC방
철인7호,69650,https://frandoor.co.kr/brands?search=%EC%B2%A0%EC%9D%B87%ED%98%B8,16479.0,3.0,1,1,2,112,치킨
티나스타일속눈썹&펌,30000,LLM 추정값,2236.0,9.0,1,1,2,112,이미용
진이찬방,67300,https://frandoor.co.kr/brands?search=%EC%A7%84%EC%9D%B4%EC%B0%AC%EB%B0%A9,15473503.0,18.0,2,2,2,222,한식
곱분이곱창,58740,https://frandoor.co.kr/brands?search=%EA%B3%B1%EB%B6%84%EC%9D%B4%EA%B3%B1%EC%B0%BD,28080.0,23.0,2,2,2,222,한식
피자와치킨의러브레터,33700,https://frandoor.co.kr/brands?search=%ED%94%BC%EC%9E%90%EC%99%80%EC%B9%98%ED%82%A8%EC%9D%98%EB%9F%AC%EB%B8%8C%EB%A0%88%ED%84%B0,11308.0,3.0,1,1,2,112,피자
제육의 법칙,36630,https://frandoor.co.kr/brands?search=%EC%A0%9C%EC%9C%A1%EC%9D%98%20%EB%B2%95%EC%B9%99,7267.0,6.0,1,1,2,112,한식
아비꼬,89350,https://frandoor.co.kr/brands?search=%EC%95%84%EB%B9%84%EA%BC%AC,25556.0,31.0,2,2,1,221,기타 외식
조선부뚜막,41700,https://frandoor.co.kr/brands?search=%EC%A1%B0%EC%84%A0%EB%B6%80%EB%9A%9C%EB%A7%89,16392.0,11.0,1,1,2,112,한식
불아더 숯불바베큐,48360,https://frandoor.co.kr/brands?search=%EB%B6%88%EC%95%84%EB%8D%94%20%EC%88%AF%EB%B6%88%EB%B0%94%EB%B2%A0%ED%81%90,20746.0,4.0,2,1,2,212,치킨
송사부고로케,85650,https://frandoor.co.kr/brands?search=%EC%86%A1%EC%82%AC%EB%B6%80%EA%B3%A0%EB%A1%9C%EC%BC%80,53530.0,19.0,2,2,1,221,제과제빵
자가제빵 선명희피자,60200,https://frandoor.co.kr/brands?search=%EC%9E%90%EA%B0%80%EC%A0%9C%EB%B9%B5%20%EC%84%A0%EB%AA%85%ED%9D%AC%ED%94%BC%EC%9E%90,15232.0,14.0,1,2,2,122,피자
양산도,11200,https://frandoor.co.kr/brands?search=%EC%96%91%EC%82%B0%EB%8F%84,866383.0,13.0,2,2,2,222,한식
노량진의 전설 미스사이공(miss420),60390,https://frandoor.co.kr/brands?search=%EB%85%B8%EB%9F%89%EC%A7%84%EC%9D%98%20%EC%A0%84%EC%84%A4%20%EB%AF%B8%EC%8A%A4%EC%82%AC%EC%9D%B4%EA%B3%B5%28miss420%29,11602.0,27.0,1,2,2,122,기타 외국식
이원건강의료기,100000,LLM 추정값,5746.0,13.0,1,2,1,121,기타도소매
제비파스타&리조또,52710,https://frandoor.co.kr/brands?search=%EC%A0%9C%EB%B9%84%ED%8C%8C%EC%8A%A4%ED%83%80%26%EB%A6%AC%EC%A1%B0%EB%98%90,39951.0,9.0,2,1,2,212,서양식
구삼짜글이,28100,https://frandoor.co.kr/brands?search=%EA%B5%AC%EC%82%BC%EC%A7%9C%EA%B8%80%EC%9D%B4,22463.0,2.0,2,1,2,212,한식
대한냉면,56040,https://frandoor.co.kr/brands?search=%EB%8C%80%ED%95%9C%EB%83%89%EB%A9%B4,55387.0,18.0,2,2,2,222,한식
커피무카24,53400,https://frandoor.co.kr/brands?search=%EC%BB%A4%ED%94%BC%EB%AC%B4%EC%B9%B424,6998.0,14.0,1,2,2,122,커피
떡의작품,58000,https://frandoor.co.kr/brands?search=%EB%96%A1%EC%9D%98%EC%9E%91%ED%92%88,27136.0,6.0,2,1,2,212,분식
크로앙쥬,55000,https://frandoor.co.kr/brands?search=%ED%81%AC%EB%A1%9C%EC%95%99%EC%A5%AC,19384.0,2.0,2,1,2,212,제과제빵
태성춘골뱅이신사,62550,https://frandoor.co.kr/brands?search=%ED%83%9C%EC%84%B1%EC%B6%98%EA%B3%A8%EB%B1%85%EC%9D%B4%EC%8B%A0%EC%82%AC,14914.0,16.0,1,2,2,122,한식
미카도스시,70550,https://frandoor.co.kr/brands?search=%EB%AF%B8%EC%B9%B4%EB%8F%84%EC%8A%A4%EC%8B%9C,22371.0,6.0,2,1,1,211,일식
탄광맥주,88900,https://frandoor.co.kr/brands?search=%ED%83%84%EA%B4%91%EB%A7%A5%EC%A3%BC,13728.0,1.0,1,1,1,111,주점
감성커피,42400,https://frandoor.co.kr/brands?search=%EA%B0%90%EC%84%B1%EC%BB%A4%ED%94%BC,15664.0,26.0,1,2,2,122,커피
소소떡볶이,55690,https://frandoor.co.kr/brands?search=%EC%86%8C%EC%86%8C%EB%96%A1%EB%B3%B6%EC%9D%B4,23110.0,9.0,2,1,2,212,분식
죽도령,31750,https://frandoor.co.kr/brands?search=%EC%A3%BD%EB%8F%84%EB%A0%B9,11815.0,11.0,1,1,2,112,한식
짱닭치킨,38020,https://frandoor.co.kr/brands?search=%EC%A7%B1%EB%8B%AD%EC%B9%98%ED%82%A8,16482.0,12.0,1,2,2,122,치킨
점핑하이,70000,LLM 추정값,2946.0,41.0,1,2,2,122,스포츠 관련
명태어장앤쭈갑골,90600,https://frandoor.co.kr/brands?search=%EB%AA%85%ED%83%9C%EC%96%B4%EC%9E%A5%EC%95%A4%EC%AD%88%EA%B0%91%EA%B3%A8,13754.0,5.0,1,1,1,111,한식
리얼안심탕수육,32650,https://frandoor.co.kr/brands?search=%EB%A6%AC%EC%96%BC%EC%95%88%EC%8B%AC%ED%83%95%EC%88%98%EC%9C%A1,5513.0,4.0,1,1,2,112,기타 외식
피슈 마라홍탕,7150,https://frandoor.co.kr/brands?search=%ED%94%BC%EC%8A%88%20%EB%A7%88%EB%9D%BC%ED%99%8D%ED%83%95,16571.0,8.0,1,1,2,112,중식
김호두(kimhodu),69120,https://frandoor.co.kr/brands?search=%EA%B9%80%ED%98%B8%EB%91%90%28kimhodu%29,23417.0,3.0,2,1,2,212,제과제빵
JINY's(지니스),60000,LLM 추정값,9726.0,1.0,1,1,2,112,안경
파파존스피자,19130,https://frandoor.co.kr/brands?search=%ED%8C%8C%ED%8C%8C%EC%A1%B4%EC%8A%A4%ED%94%BC%EC%9E%90,29091.0,70.0,2,2,2,222,피자
영자's곱창,43900,https://frandoor.co.kr/brands?search=%EC%98%81%EC%9E%90%27s%EA%B3%B1%EC%B0%BD,17112.0,17.0,2,2,2,222,한식
수유리우동집,82500,https://frandoor.co.kr/brands?search=%EC%88%98%EC%9C%A0%EB%A6%AC%EC%9A%B0%EB%8F%99%EC%A7%91,19709.0,32.0,2,2,1,221,분식
더홀릭보드게임카페,130000,LLM 추정값,5806.0,8.0,1,1,1,111,오락
양마니찌개마을,6800,https://frandoor.co.kr/brands?search=%EC%96%91%EB%A7%88%EB%8B%88%EC%B0%8C%EA%B0%9C%EB%A7%88%EC%9D%84,18463.0,1.0,2,1,2,212,한식
문구야놀자,45000,LLM 추정값,10332.0,52.0,1,2,2,122,기타도소매
미스터국수왕,10950,https://frandoor.co.kr/brands?search=%EB%AF%B8%EC%8A%A4%ED%84%B0%EA%B5%AD%EC%88%98%EC%99%95,15782.0,14.0,1,2,2,122,분식
코리안바베큐,71000,https://frandoor.co.kr/brands?search=%EC%BD%94%EB%A6%AC%EC%95%88%EB%B0%94%EB%B2%A0%ED%81%90,13436.0,8.0,1,1,1,111,치킨
바퀴달린그림책,70000,LLM 추정값,4412.0,7.0,1,1,2,112,유아 관련 (교육 외)
밥스틸러 김치찜,23100,https://frandoor.co.kr/brands?search=%EB%B0%A5%EC%8A%A4%ED%8B%B8%EB%9F%AC%20%EA%B9%80%EC%B9%98%EC%B0%9C,24781.0,3.0,2,1,2,212,한식
봉추찜닭,30960,https://frandoor.co.kr/brands?search=%EB%B4%89%EC%B6%94%EC%B0%9C%EB%8B%AD,14933.0,49.0,1,2,2,122,한식
삼겹식당,95400,https://frandoor.co.kr/brands?search=%EC%82%BC%EA%B2%B9%EC%8B%9D%EB%8B%B9,21847.0,2.0,2,1,1,211,기타 외식
롤로토바코샵,40000,LLM 추정값,13258.0,11.0,1,1,2,112,기타도소매
반미362,65620,https://frandoor.co.kr/brands?search=%EB%B0%98%EB%AF%B8362,21451.0,9.0,2,1,2,212,기타 외국식
더맛있는족발보쌈,93200,https://frandoor.co.kr/brands?search=%EB%8D%94%EB%A7%9B%EC%9E%88%EB%8A%94%EC%A1%B1%EB%B0%9C%EB%B3%B4%EC%8C%88,38556.0,22.0,2,2,1,221,한식
깐부치킨,51100,https://frandoor.co.kr/brands?search=%EA%B9%90%EB%B6%80%EC%B9%98%ED%82%A8,17963.0,81.0,2,2,2,222,치킨
통인익스프레스,100000,LLM 추정값,4862.0,41.0,1,2,1,121,이사
징기스,1030,https://frandoor.co.kr/brands?search=%EC%A7%95%EA%B8%B0%EC%8A%A4,27341.0,2.0,2,1,2,212,기타 외식
토리키치,4730,https://frandoor.co.kr/brands?search=%ED%86%A0%EB%A6%AC%ED%82%A4%EC%B9%98,15692.0,15.0,1,2,2,122,기타 외식
허갈닭강정,19300,https://frandoor.co.kr/brands?search=%ED%97%88%EA%B0%88%EB%8B%AD%EA%B0%95%EC%A0%95,20138.0,1.0,2,1,2,212,치킨
밥에큐 치킨,70000,LLM 추정값,17694.0,1.0,2,1,2,212,치킨
마일로(MILO),65800,https://frandoor.co.kr/brands?search=%EB%A7%88%EC%9D%BC%EB%A1%9C%28MILO%29,10482.0,1.0,1,1,2,112,커피
청담곱떡,2620,https://frandoor.co.kr/brands?search=%EC%B2%AD%EB%8B%B4%EA%B3%B1%EB%96%A1,696.0,10.0,1,1,2,112,기타 외식
미샤,150000,LLM 추정값,28473.0,3.0,2,1,1,211,화장품
또래오래,32680,https://frandoor.co.kr/brands?search=%EB%98%90%EB%9E%98%EC%98%A4%EB%9E%98,12521.0,65.0,1,2,2,122,치킨
궁채,16400,https://frandoor.co.kr/brands?search=%EA%B6%81%EC%B1%84,19257.0,4.0,2,1,2,212,한식
101번지 남산돈까스,22780,https://frandoor.co.kr/brands?search=101%EB%B2%88%EC%A7%80%20%EB%82%A8%EC%82%B0%EB%8F%88%EA%B9%8C%EC%8A%A4,22132.0,7.0,2,1,2,212,기타 외식
카페띠아모,71850,https://frandoor.co.kr/brands?search=%EC%B9%B4%ED%8E%98%EB%9D%A0%EC%95%84%EB%AA%A8,7858.0,10.0,1,1,1,111,커피
교동전선생,91500,https://frandoor.co.kr/brands?search=%EA%B5%90%EB%8F%99%EC%A0%84%EC%84%A0%EC%83%9D,16924.0,18.0,2,2,1,221,한식
목우촌웰빙마을,7570,https://frandoor.co.kr/brands?search=%EB%AA%A9%EC%9A%B0%EC%B4%8C%EC%9B%B0%EB%B9%99%EB%A7%88%EC%9D%84,16642.0,9.0,1,1,2,112,기타 외식
카페16온스,80000,https://frandoor.co.kr/brands?search=%EC%B9%B4%ED%8E%9816%EC%98%A8%EC%8A%A4,14362.0,2.0,1,1,1,111,커피
저스트텐동,10490,https://frandoor.co.kr/brands?search=%EC%A0%80%EC%8A%A4%ED%8A%B8%ED%85%90%EB%8F%99,22694.0,3.0,2,1,2,212,일식
하이오커피,71100,https://frandoor.co.kr/brands?search=%ED%95%98%EC%9D%B4%EC%98%A4%EC%BB%A4%ED%94%BC,18605.0,13.0,2,2,1,221,커피
경양카츠,12450,https://frandoor.co.kr/brands?search=%EA%B2%BD%EC%96%91%EC%B9%B4%EC%B8%A0,21720.0,7.0,2,1,2,212,일식
HOTEL-LAUNDRY 호텔런드리,180000,LLM 추정값,3634.0,18.0,1,2,1,121,세탁
빨간펜 수학의 달인,40000,LLM 추정값,1783.0,75.0,1,2,2,122,교육 (교과)
모두의죽,43700,https://frandoor.co.kr/brands?search=%EB%AA%A8%EB%91%90%EC%9D%98%EC%A3%BD,50306.0,16.0,2,2,2,222,한식
제로100피씨(ZERO100PC),300000,LLM 추정값,5728.0,62.0,1,2,1,121,PC방
본래순대,86790,https://frandoor.co.kr/brands?search=%EB%B3%B8%EB%9E%98%EC%88%9C%EB%8C%80,7121.0,13.0,1,2,1,121,한식
리드101,80000,LLM 추정값,7499.0,28.0,1,2,1,121,교육 (외국어)
자라다남아미술학원,70000,LLM 추정값,8161.0,17.0,1,2,2,122,기타 교육
다가치통닭,41750,https://frandoor.co.kr/brands?search=%EB%8B%A4%EA%B0%80%EC%B9%98%ED%86%B5%EB%8B%AD,15837.0,24.0,1,2,2,122,치킨
크레이저커피(C.Razer Coffee),65030,https://frandoor.co.kr/brands?search=%ED%81%AC%EB%A0%88%EC%9D%B4%EC%A0%80%EC%BB%A4%ED%94%BC%28C.Razer%20Coffee%29,8654.0,6.0,1,1,2,112,커피
구구족,62650,https://frandoor.co.kr/brands?search=%EA%B5%AC%EA%B5%AC%EC%A1%B1,51253.0,26.0,2,2,2,222,한식
토니모리,150000,LLM 추정값,51594.0,13.0,2,2,1,221,화장품
찜꽁찜닭,61600,https://frandoor.co.kr/brands?search=%EC%B0%9C%EA%BD%81%EC%B0%9C%EB%8B%AD,18672.0,3.0,2,1,2,212,한식
도시곳간,34500,https://frandoor.co.kr/brands?search=%EB%8F%84%EC%8B%9C%EA%B3%B3%EA%B0%84,19212.0,7.0,2,1,2,212,기타 외식
참다한홍삼,120000,LLM 추정값,11872.0,4.0,1,1,1,111,기타도소매
콩심,91550,https://frandoor.co.kr/brands?search=%EC%BD%A9%EC%8B%AC,19401.0,19.0,2,2,1,221,기타 외식
정통집,68450,https://frandoor.co.kr/brands?search=%EC%A0%95%ED%86%B5%EC%A7%91,26041.0,11.0,2,1,2,212,한식
드라이빙존운전면허,200000,LLM 추정값,2179.0,5.0,1,1,1,111,기타 교육
히스피(HISFFEE),50300,https://frandoor.co.kr/brands?search=%ED%9E%88%EC%8A%A4%ED%94%BC%28HISFFEE%29,12749.0,8.0,1,1,2,112,커피
오한수우육면가,5100,https://frandoor.co.kr/brands?search=%EC%98%A4%ED%95%9C%EC%88%98%EC%9A%B0%EC%9C%A1%EB%A9%B4%EA%B0%80,12947.0,40.0,1,2,2,122,중식
카페동네,41000,https://frandoor.co.kr/brands?search=%EC%B9%B4%ED%8E%98%EB%8F%99%EB%84%A4,10936.0,4.0,1,1,2,112,커피
신머이,60370,https://frandoor.co.kr/brands?search=%EC%8B%A0%EB%A8%B8%EC%9D%B4,8340.0,8.0,1,1,2,112,기타 외국식
세광양대창,73550,https://frandoor.co.kr/brands?search=%EC%84%B8%EA%B4%91%EC%96%91%EB%8C%80%EC%B0%BD,20367.0,23.0,2,2,1,221,기타 외식
누구나홀딱반한닭,81140,https://frandoor.co.kr/brands/ftc-20110100603,19051.0,38.0,2,2,1,221,치킨
오복미역,172750,https://frandoor.co.kr/brands/ftc-20160153,18736.0,1.0,2,1,1,211,한식
육회말투아웃,54630,https://frandoor.co.kr/brands/ftc-20160945,26318.0,1.0,2,1,2,212,기타 외식
일품양평해장국,74880,https://frandoor.co.kr/brands/ftc-20180410,17613.0,29.0,2,2,1,221,한식
김치찌개미화식당,94820,https://frandoor.co.kr/brands/ftc-20190636,15842.0,4.0,1,1,1,111,한식
바른치킨,49400,https://frandoor.co.kr/brands/ftc-20150930,18071421.0,38.0,2,2,2,222,치킨
튀봉이의뻥튀기공작소,50000,LLM 추정값,5494.0,10.0,1,1,2,112,기타도소매
치어스,119760,https://frandoor.co.kr/brands/ftc-20080200008,8473.0,11.0,1,1,1,111,주점
굿맘할매순대국&양선지해장국,53500,https://frandoor.co.kr/brands/ftc-20161227,12039.0,16.0,1,2,2,122,한식
코딩앤플레이,50000,LLM 추정값,4186.0,2.0,1,1,2,112,기타 교육
행복가마솥밥&알솥밥,131710,https://frandoor.co.kr/brands/ftc-20170703,23980.0,5.0,2,1,1,211,한식
채선당도시락&샐러드,93080,https://frandoor.co.kr/brands/ftc-20200017,16328.0,1.0,1,1,1,111,기타 외식
미태리,41350,https://frandoor.co.kr/brands/ftc-20181061,17151.0,23.0,2,2,2,222,서양식
처갓집양념치킨,29050,https://frandoor.co.kr/brands/ftc-20080200106,41024.0,128.0,2,2,2,222,치킨
더꼬치다,31800,https://frandoor.co.kr/brands/ftc-20190139,13961.0,8.0,1,1,2,112,기타 외식
조선화로닭발,76800,https://frandoor.co.kr/brands/ftc-20210827,20534.0,8.0,2,1,1,211,한식
한촌설렁탕,149100,https://frandoor.co.kr/brands/ftc-20090100478,16931.0,33.0,2,2,1,221,한식
와이즈만영재교육,80000,LLM 추정값,5028.0,12.0,1,2,1,121,교육 (교과)
따르릉,40000,LLM 추정값,9627.0,21.0,1,2,2,122,기타 서비스
달콤왕가탕후루,74910,https://frandoor.co.kr/brands/ftc-20200176,18497.0,26.0,2,2,1,221,기타 외국식
군자대한곱창,110550,https://frandoor.co.kr/brands/ftc-20190352,30629.0,6.0,2,1,1,211,기타 외식
밤하늘포차 연어육회,32350,https://frandoor.co.kr/brands/ftc-20201059,21873.0,4.0,2,1,2,212,주점
청록미나리식당,71850,https://frandoor.co.kr/brands/ftc-20212722,16107.0,16.0,1,2,1,121,한식
카페게이트,72730,https://frandoor.co.kr/brands/ftc-20150253,15348.0,31.0,1,2,1,121,커피
우이락,118500,https://frandoor.co.kr/brands/ftc-20220789,23933.0,15.0,2,2,1,221,한식
잭슨피자,169760,https://frandoor.co.kr/brands/ftc-20210148,31956.0,25.0,2,2,1,221,피자
풍덕천 두꺼비집,102300,https://frandoor.co.kr/brands/ftc-20213039,29476.0,2.0,2,1,1,211,주점
천사곱창,59100,https://frandoor.co.kr/brands/ftc-20160760,27641.0,5.0,2,1,2,212,한식
캠핑고래,150000,LLM 추정값,12639.0,1.0,1,1,1,111,기타도소매
뉴욕야시장,85840,https://frandoor.co.kr/brands/ftc-20160803,9774.0,6.0,1,1,1,111,주점
홀리앤졸리,77000,https://frandoor.co.kr/brands/ftc-20213619,10482.0,2.0,1,1,1,111,제과제빵
제주옥탑,128700,https://frandoor.co.kr/brands/ftc-20212021,32157.0,1.0,2,1,1,211,한식
PC토랑,220,https://frandoor.co.kr/brands/ftc-20211891,8136.0,71.0,1,2,2,122,패스트푸드
스크린토랑,4290,https://frandoor.co.kr/brands/ftc-20211437,6943.0,4.0,1,1,2,112,패스트푸드
순남시래기,113300,https://frandoor.co.kr/brands/ftc-20150356,15367.0,14.0,1,2,1,121,기타 외식
