profile_id,immediate_available_capital_10k_krw,max_self_investment_10k_krw,operating_reserve_10k_krw,funding_self_savings_flag,self_savings_amount_10k_krw,funding_family_flag,family_funding_amount_10k_krw,funding_investor_flag,investor_funding_amount_10k_krw,funding_loan_flag,loan_status,desired_loan_amount_10k_krw,expected_interest_rate_pct,loan_term_months,repayment_method,current_debt_total_10k_krw,current_monthly_debt_payment_10k_krw,minimum_monthly_living_cost_10k_krw,post_startup_household_monthly_after_tax_income_10k_krw,planned_expense_1_purpose,planned_expense_1_amount_10k_krw,planned_expense_1_timing_months,planned_expense_2_purpose,planned_expense_2_amount_10k_krw,planned_expense_2_timing_months,current_franchise_store_count,existing_store_monthly_net_profit_10k_krw,new_store_planned_operation_months,target_monthly_after_tax_income_10k_krw,target_payback_years,actual_startup_timing_months,preferred_industry_count,preferred_industry_1,preferred_industry_2,preferred_industry_3
USR00014,8500,6500,2000,1,8500,0,0,0,0,1,사전 상담 완료,5400,9.16,120,만기일시상환,0,0,360,800,차량 구입,7000,6,없음,0,0,0,0,12,310,6.5,12,2,안경,음료 (커피 외),
USR00015,5600,4400,1200,1,5600,1,1000,0,0,1,승인 완료,1500,8.82,12,원리금균등상환,0,0,160,810,교육,10000,30,없음,0,0,0,0,24,1060,1.5,12,1,기타도소매,,
USR00016,12900,10700,2200,1,12900,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,4900,80,280,360,주거 이전,3900,18,차량 구입,5700,24,0,0,60,830,1,24,1,오락,,
USR00017,4600,3500,1100,1,4600,0,0,0,0,1,검토 중,14800,3.32,60,원금균등상환,21100,250,580,160,기타,9100,6,없음,0,0,0,0,12,380,6.5,12,2,운송,커피,
USR00018,10400,7700,2700,1,10400,0,0,0,0,1,검토 중,7300,4.14,12,만기일시상환,0,0,450,600,기타,5700,6,차량 구입,5500,12,0,0,36,1270,0,24,1,유아 관련 (교육 외),,
USR00019,10700,9200,1500,1,10700,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,430,0,기타,1200,12,없음,0,0,0,0,12,350,2.5,12,1,유아 관련 (교육 외),,
USR00020,2700,2400,300,1,2700,0,0,0,0,1,사전 상담 완료,8100,3.23,120,원금균등상환,25700,400,580,150,주거 이전,3900,6,교육,900,36,0,0,6,0,4,6,1,음료 (커피 외),,
USR00021,3000,2500,500,1,3000,1,3400,1,9600,0,대출 계획 없음,0,0,0,해당 없음,1500,20,390,410,기타,9400,24,가족 지원,2000,18,0,0,36,510,1.5,3,1,기타도소매,,
USR00022,16500,12800,3700,1,16500,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,280,240,없음,0,0,없음,0,0,1,1270,12,1220,0,12,1,이미용,,
USR00023,6200,5200,1000,1,6200,1,2100,0,0,1,검토 중,8800,6.86,120,원금균등상환,15000,290,270,0,없음,0,0,없음,0,0,0,0,36,1010,3,3,1,이사,,
USR00024,3300,2600,700,1,3300,1,4000,0,0,1,사전 상담 완료,9500,3.71,12,원금균등상환,0,0,570,830,결혼,800,24,없음,0,0,0,0,24,1340,4,12,2,인력 파견,기타 외국식,
USR00025,700,500,200,1,700,1,4400,0,0,1,검토 중,10700,7.16,60,원금균등상환,0,0,430,540,교육,1200,12,없음,0,0,0,0,36,970,3,3,1,일식,,
USR00026,1800,1400,400,1,1800,0,0,0,0,1,승인 완료,8700,5.8,12,만기일시상환,0,0,200,730,없음,0,0,없음,0,0,0,0,60,990,2,24,1,임대,,
USR00027,2300,1700,600,1,2300,0,0,0,0,1,검토 중,11200,9.36,36,원금균등상환,0,0,350,880,차량 구입,400,18,없음,0,0,0,0,60,820,0,12,1,자동차 관련,,
USR00028,3700,2800,900,1,3700,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,29700,360,480,300,없음,0,0,없음,0,0,0,0,12,1260,1.5,6,1,제과제빵,,
USR00029,12500,10100,2400,1,12500,0,0,0,0,1,승인 완료,5800,8.21,36,원금균등상환,18300,190,390,480,없음,0,0,없음,0,0,0,0,24,0,0,3,1,주점,,
USR00030,23000,20000,3000,1,23000,1,4200,0,0,1,검토 중,9000,10.28,60,원리금균등상환,0,0,480,430,없음,0,0,없음,0,0,0,0,60,850,1.5,6,2,중식,패스트푸드,
USR00031,14500,11200,3300,1,14500,0,0,0,0,1,승인 완료,8900,11.37,12,원리금균등상환,0,0,300,0,기타,6800,12,없음,0,0,0,0,60,1030,4.5,3,1,치킨,,
USR00032,6400,5500,900,1,6400,0,0,0,0,1,검토 중,11700,3.36,36,만기일시상환,0,0,250,0,없음,0,0,없음,0,0,0,0,24,890,1,12,1,커피,,
USR00033,1800,1400,400,1,1800,0,0,0,0,1,검토 중,2000,11.05,48,원금균등상환,10000,170,290,0,주거 이전,5300,30,없음,0,0,0,0,120,320,4,12,1,패스트푸드,,
USR00034,8900,7600,1300,1,8900,1,4100,0,0,1,검토 중,3500,7.67,120,만기일시상환,16100,310,400,400,없음,0,0,없음,0,0,0,0,120,620,6.5,6,2,편의점,분식,
USR00035,8800,7100,1700,1,8800,1,2600,0,0,1,사전 상담 완료,2300,4.65,120,원금균등상환,0,0,380,480,없음,0,0,없음,0,0,0,0,120,780,1.5,12,1,피자,,
USR00036,10300,8400,1900,1,10300,0,0,0,0,1,검토 중,8400,3.14,24,원금균등상환,0,0,370,870,없음,0,0,없음,0,0,0,0,60,420,5.5,36,2,한식,기타 외국식,
USR00037,2200,1900,300,1,2200,1,1000,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,260,150,결혼,8500,36,없음,0,0,1,2660,12,620,5,12,1,화장품,,
USR00038,13400,10500,2900,1,13400,0,0,0,0,1,승인 완료,11100,11.79,120,원금균등상환,12700,170,500,0,가족 지원,9400,12,없음,0,0,0,0,12,400,3.5,6,1,PC방,,
USR00039,2800,2000,800,1,2800,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,6400,100,380,150,없음,0,0,없음,0,0,0,0,24,390,6,12,2,교육 (교과),음료 (커피 외),
USR00040,7600,6400,1200,1,7600,1,3300,0,0,1,승인 완료,1100,4.74,60,원금균등상환,0,0,200,500,없음,0,0,없음,0,0,0,0,36,390,3,12,1,교육 (외국어),,
USR00041,14700,11400,3300,1,14700,0,0,0,0,1,사전 상담 완료,11900,7.08,84,만기일시상환,26700,410,300,470,기타,9800,6,없음,0,0,2,1450,120,1340,4,6,1,기타 교육,,
USR00042,3700,2800,900,1,3700,0,0,0,0,1,검토 중,7200,3.29,36,원리금균등상환,0,0,170,790,차량 구입,9500,36,없음,0,0,0,0,24,0,3.5,12,1,기타 서비스,,
USR00043,6700,5600,1100,1,6700,0,0,0,0,1,검토 중,7500,8.4,120,원금균등상환,0,0,400,600,없음,0,0,없음,0,0,0,0,120,280,2.5,6,2,기타 외국식,한식,
USR00044,6500,5700,800,1,6500,0,0,1,8400,1,사전 상담 완료,11500,11.29,12,원리금균등상환,13100,200,530,540,출산·육아,1800,6,차량 구입,2600,12,0,0,6,1140,3.5,6,1,기타 외식,,
USR00045,7100,6200,900,1,7100,1,3000,0,0,1,승인 완료,3200,8.23,12,원금균등상환,0,0,330,340,주거 이전,3300,12,결혼,6300,6,0,0,12,0,5,12,1,기타도소매,,
USR00046,12400,9400,3000,1,12400,0,0,0,0,1,검토 중,2000,10.3,24,원금균등상환,0,0,560,750,없음,0,0,없음,0,0,0,0,36,270,6.5,12,1,기타도소매,,
USR00047,7400,6200,1200,1,7400,0,0,0,0,1,사전 상담 완료,4700,10.17,120,만기일시상환,0,0,230,700,없음,0,0,없음,0,0,0,0,12,0,6,12,1,분식,,
USR00048,13100,10900,2200,1,13100,0,0,0,0,1,승인 완료,10000,11.73,24,원리금균등상환,0,0,240,310,기타,4200,12,없음,0,0,0,0,24,260,2,6,1,서양식,,
USR00049,9900,7900,2000,1,9900,0,0,0,0,1,사전 상담 완료,6500,9.32,12,만기일시상환,0,0,360,0,교육,4500,24,없음,0,0,3,7020,36,970,0,12,3,세탁,아이스크림/빙수 ,기타도소매
USR00050,700,500,200,1,700,0,0,0,0,1,사전 상담 완료,10700,8.12,48,만기일시상환,0,0,370,780,없음,0,0,없음,0,0,0,0,60,1030,5.5,6,1,스포츠 관련,,
USR00051,27700,19800,7900,1,27700,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,330,540,없음,0,0,없음,0,0,0,0,36,1120,0,24,2,아이스크림/빙수 ,PC방,
USR00052,7500,6600,900,1,7500,1,4900,1,9400,0,대출 계획 없음,0,0,0,해당 없음,19700,260,480,660,출산·육아,1700,36,없음,0,0,0,0,36,1360,2.5,12,1,안경,,
USR00053,1900,1600,300,1,1900,0,0,0,0,1,사전 상담 완료,6700,6.69,48,원리금균등상환,0,0,230,890,없음,0,0,없음,0,0,3,6390,120,870,3,3,1,기타도소매,,
USR00054,3700,3100,600,1,3700,0,0,0,0,1,사전 상담 완료,10700,8.21,36,원리금균등상환,22200,420,250,710,없음,0,0,없음,0,0,0,0,6,410,2,36,1,오락,,
USR00055,23700,19200,4500,1,23700,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,19200,510,330,0,없음,0,0,없음,0,0,0,0,6,0,3.5,6,1,운송,,
USR00056,8600,6300,2300,1,8600,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,7600,200,340,0,없음,0,0,없음,0,0,0,0,6,0,5.5,12,1,유아 관련 (교육 외),,
USR00057,6200,4400,1800,1,6200,0,0,0,0,1,검토 중,10500,9.79,48,만기일시상환,0,0,470,770,없음,0,0,없음,0,0,0,0,60,1140,1,12,1,유아 관련 (교육 외),,
USR00058,1300,1000,300,1,1300,0,0,1,6300,0,대출 계획 없음,0,0,0,해당 없음,0,0,420,500,없음,0,0,없음,0,0,0,0,60,0,0,3,1,음료 (커피 외),,
USR00059,1700,1300,400,1,1700,1,3200,0,0,1,사전 상담 완료,8600,5.84,24,원금균등상환,19800,190,390,770,주거 이전,5500,36,없음,0,0,0,0,6,0,1,12,1,기타도소매,,
USR00060,600,400,200,1,600,1,500,0,0,1,사전 상담 완료,10400,8.75,24,원리금균등상환,0,0,480,600,없음,0,0,없음,0,0,2,2270,24,1490,4.5,3,1,이미용,,
USR00061,7600,6100,1500,1,7600,1,2400,0,0,1,검토 중,2200,5.8,60,만기일시상환,2900,40,310,610,기타,600,12,교육,1700,12,1,410,24,700,4,12,1,이사,,
USR00062,2400,2000,400,1,2400,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,520,220,없음,0,0,없음,0,0,0,0,36,860,2,6,1,인력 파견,,
USR00063,7900,6200,1700,1,7900,1,2300,0,0,1,검토 중,13400,4.56,84,원금균등상환,13600,180,220,630,없음,0,0,없음,0,0,0,0,60,1310,5.5,12,2,일식,유아 관련 (교육 외),
USR00064,3900,3000,900,1,3900,0,0,1,7400,1,검토 중,12100,3.74,48,원금균등상환,0,0,560,0,없음,0,0,없음,0,0,1,2910,120,320,2,12,2,임대,서양식,
USR00065,11500,8900,2600,1,11500,0,0,0,0,1,검토 중,8700,6.21,84,원리금균등상환,7600,90,480,420,출산·육아,5000,30,없음,0,0,0,0,12,1410,5.5,12,1,자동차 관련,,
USR00066,3900,3100,800,1,3900,1,4600,0,0,1,사전 상담 완료,11400,8.05,24,원리금균등상환,24900,250,280,520,없음,0,0,없음,0,0,0,0,24,1490,5,6,1,제과제빵,,
USR00067,6900,5800,1100,1,6900,0,0,0,0,1,검토 중,10900,9.68,36,원금균등상환,16600,200,540,640,가족 지원,3900,6,없음,0,0,0,0,36,0,6.5,12,1,주점,,
USR00068,3700,3000,700,1,3700,1,2000,0,0,1,사전 상담 완료,7100,10.6,12,원리금균등상환,13200,170,260,460,없음,0,0,없음,0,0,0,0,12,1290,6.5,12,1,중식,,
USR00069,5300,4600,700,1,5300,0,0,0,0,1,사전 상담 완료,6900,7.7,120,원리금균등상환,0,0,360,440,없음,0,0,없음,0,0,0,0,6,0,1,12,1,치킨,,
USR00070,7100,5900,1200,1,7100,0,0,0,0,1,승인 완료,4000,3.48,24,원금균등상환,27200,310,530,450,없음,0,0,없음,0,0,0,0,120,510,6.5,12,1,커피,,
USR00071,2800,2400,400,1,2800,0,0,0,0,1,검토 중,13600,6.14,36,원금균등상환,13900,320,540,750,없음,0,0,없음,0,0,0,0,12,1290,0,12,1,패스트푸드,,
USR00072,11900,9800,2100,1,11900,0,0,0,0,1,검토 중,4700,6.25,24,만기일시상환,0,0,580,830,결혼,8000,30,없음,0,0,0,0,120,570,3.5,24,2,편의점,화장품,
USR00073,4300,3300,1000,1,4300,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,190,760,없음,0,0,없음,0,0,0,0,12,1400,5.5,3,1,피자,,
USR00074,3000,2500,500,1,3000,0,0,0,0,1,사전 상담 완료,10700,11,12,원금균등상환,0,0,210,0,없음,0,0,없음,0,0,0,0,120,1020,3,6,1,한식,,
USR00075,4700,4200,500,1,4700,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,390,550,없음,0,0,없음,0,0,3,4390,60,1150,4.5,24,1,화장품,,
USR00076,6200,4500,1700,1,6200,0,0,0,0,1,검토 중,10600,6.93,36,만기일시상환,0,0,280,420,없음,0,0,없음,0,0,0,0,120,550,4,6,1,PC방,,
USR00077,16500,14100,2400,1,16500,0,0,1,3100,1,검토 중,8800,10.29,24,원리금균등상환,0,0,570,290,없음,0,0,없음,0,0,0,0,60,1140,4.5,12,2,교육 (교과),안경,
USR00078,6000,4500,1500,1,6000,0,0,0,0,1,검토 중,9700,10.04,60,원금균등상환,12900,170,440,0,없음,0,0,없음,0,0,0,0,120,770,3,24,1,교육 (외국어),,
USR00079,1500,1300,200,1,1500,0,0,0,0,1,승인 완료,12400,9.43,24,원리금균등상환,0,0,300,690,없음,0,0,없음,0,0,0,0,12,720,0,12,2,기타 교육,커피,
USR00080,5500,4200,1300,1,5500,0,0,0,0,1,검토 중,3800,9.02,48,만기일시상환,0,0,550,560,없음,0,0,없음,0,0,0,0,120,1100,4.5,6,2,기타 서비스,기타 교육,
USR00081,4900,3700,1200,1,4900,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,500,510,없음,0,0,없음,0,0,0,0,120,250,5,12,1,기타 외국식,,
USR00082,2400,2000,400,1,2400,1,500,0,0,1,검토 중,1200,5.14,120,원금균등상환,0,0,220,660,기타,1200,24,없음,0,0,1,480,120,370,3,12,1,기타 외식,,
USR00083,5300,4200,1100,1,5300,0,0,0,0,1,검토 중,6200,8.99,48,원금균등상환,21500,360,450,0,없음,0,0,없음,0,0,0,0,36,870,2.5,12,1,기타도소매,,
USR00084,4200,3300,900,1,4200,0,0,0,0,1,검토 중,14700,11.15,120,원금균등상환,12900,120,500,370,없음,0,0,없음,0,0,0,0,36,260,2.5,12,1,기타도소매,,
USR00085,3400,2900,500,1,3400,0,0,0,0,1,검토 중,12100,10.06,84,원리금균등상환,0,0,260,760,없음,0,0,없음,0,0,3,8000,60,790,2.5,12,1,분식,,
USR00086,500,300,200,1,500,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,460,390,출산·육아,9300,36,기타,7200,24,0,0,60,410,4,3,1,서양식,,
USR00087,700,500,200,1,700,0,0,0,0,1,사전 상담 완료,9200,5.25,48,원금균등상환,0,0,180,310,출산·육아,9900,12,교육,2600,6,0,0,120,450,0,12,1,세탁,,
USR00088,11300,9300,2000,1,11300,0,0,0,0,1,검토 중,2500,7.66,60,만기일시상환,0,0,510,360,없음,0,0,없음,0,0,0,0,24,730,5.5,3,2,스포츠 관련,커피,
USR00089,9500,8400,1100,1,9500,0,0,0,0,1,승인 완료,14100,6.74,84,만기일시상환,26000,310,220,0,없음,0,0,없음,0,0,1,350,24,590,6,12,2,아이스크림/빙수 ,자동차 관련,
USR00090,29700,21100,8600,1,29700,1,4600,0,0,1,검토 중,8900,5.46,84,원금균등상환,18900,600,430,830,결혼,6700,30,없음,0,0,0,0,6,290,6,12,1,안경,,
USR00091,8200,7100,1100,1,8200,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,250,230,주거 이전,5800,24,없음,0,0,0,0,12,700,1.5,6,1,기타도소매,,
USR00092,12100,9900,2200,1,12100,1,600,0,0,1,사전 상담 완료,10900,10.97,12,원리금균등상환,23300,270,260,490,가족 지원,400,6,없음,0,0,0,0,120,310,2.5,3,2,오락,화장품,
USR00093,3400,3000,400,1,3400,1,1200,0,0,1,사전 상담 완료,8800,10.83,84,원금균등상환,0,0,190,880,없음,0,0,없음,0,0,0,0,60,1440,5,6,1,운송,,
USR00094,10100,7600,2500,1,10100,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,550,310,없음,0,0,없음,0,0,0,0,120,670,0,12,1,유아 관련 (교육 외),,
USR00096,4100,3500,600,1,4100,0,0,0,0,1,검토 중,3800,8.48,60,원금균등상환,0,0,270,180,주거 이전,6000,12,없음,0,0,0,0,24,970,4.5,24,1,음료 (커피 외),,
USR00097,900,700,200,1,900,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,480,650,교육,2900,36,없음,0,0,0,0,120,480,0,12,1,기타도소매,,
USR00098,4800,4100,700,1,4800,1,700,0,0,1,검토 중,9100,3.03,60,만기일시상환,3700,80,360,790,없음,0,0,없음,0,0,0,0,120,630,6,12,2,이미용,기타도소매,
USR00099,13800,10300,3500,1,13800,0,0,0,0,1,사전 상담 완료,5700,9.79,120,원금균등상환,0,0,370,0,가족 지원,8600,18,주거 이전,4200,18,0,0,6,1430,0,12,2,이사,피자,
USR00100,4000,3500,500,1,4000,1,4800,0,0,0,대출 계획 없음,0,0,0,해당 없음,15400,270,530,820,의료,700,6,가족 지원,6800,18,0,0,12,570,5,12,1,인력 파견,,
USR00101,3500,2900,600,1,3500,0,0,0,0,1,사전 상담 완료,3300,7.18,12,만기일시상환,0,0,520,740,없음,0,0,없음,0,0,0,0,36,1140,0,12,1,일식,,
USR00102,10400,7800,2600,1,10400,0,0,0,0,1,검토 중,10400,11.79,24,원리금균등상환,0,0,300,890,출산·육아,9600,12,없음,0,0,0,0,36,1130,6.5,12,1,임대,,
USR00103,4700,3900,800,1,4700,0,0,0,0,1,사전 상담 완료,1700,6.17,36,만기일시상환,0,0,590,320,차량 구입,700,30,없음,0,0,0,0,24,1220,4.5,12,1,자동차 관련,,
USR00104,1200,1000,200,1,1200,0,0,0,0,1,검토 중,12400,3.81,36,만기일시상환,0,0,240,890,교육,7000,36,주거 이전,3200,30,0,0,6,320,2.5,6,3,제과제빵,치킨,기타도소매
USR00105,600,400,200,1,600,0,0,1,9700,1,검토 중,11700,4.15,12,원리금균등상환,25900,310,330,570,없음,0,0,없음,0,0,0,0,60,460,6.5,12,1,주점,,
USR00106,11200,8800,2400,1,11200,0,0,0,0,1,검토 중,10900,3.84,36,만기일시상환,20900,400,150,840,없음,0,0,없음,0,0,0,0,36,630,0,24,2,중식,서양식,
USR00107,12900,9400,3500,1,12900,1,4500,1,6700,1,검토 중,4500,9.73,24,만기일시상환,12400,130,420,340,기타,1000,6,없음,0,0,0,0,120,1010,2,24,1,치킨,,
USR00108,10500,8800,1700,1,10500,0,0,0,0,1,검토 중,10700,7.54,84,원리금균등상환,0,0,270,480,없음,0,0,없음,0,0,0,0,24,1010,5,24,1,커피,,
USR00109,6700,6000,700,1,6700,0,0,1,5100,0,대출 계획 없음,0,0,0,해당 없음,0,0,170,0,없음,0,0,없음,0,0,1,1790,24,900,0,12,2,패스트푸드,스포츠 관련,
USR00110,3600,2800,800,1,3600,1,4400,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,440,730,없음,0,0,없음,0,0,0,0,36,1240,2,24,3,편의점,서양식,이사
USR00111,12400,11100,1300,1,12400,0,0,0,0,1,검토 중,7900,11.78,120,만기일시상환,0,0,540,0,없음,0,0,없음,0,0,0,0,24,0,2,3,1,피자,,
USR00112,1900,1500,400,1,1900,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,12600,200,590,0,의료,6100,36,없음,0,0,0,0,12,910,5.5,6,2,한식,기타 교육,
USR00113,4900,4300,600,1,4900,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,22500,330,550,630,없음,0,0,없음,0,0,0,0,36,870,6,12,1,화장품,,
USR00114,12800,11300,1500,1,12800,0,0,0,0,1,사전 상담 완료,3000,9.19,24,원금균등상환,0,0,350,170,없음,0,0,없음,0,0,0,0,36,970,1.5,24,1,PC방,,
USR00115,6100,4700,1400,1,6100,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,470,830,주거 이전,6500,30,가족 지원,6600,18,0,0,24,960,4.5,3,3,교육 (교과),유아 관련 (교육 외),피자
USR00116,28000,22500,5500,1,28000,0,0,0,0,1,검토 중,8600,6.76,60,원리금균등상환,25900,290,340,0,없음,0,0,없음,0,0,0,0,36,1440,2,6,1,교육 (외국어),,
USR00117,1000,700,300,1,1000,1,1200,0,0,1,검토 중,11600,7.35,60,원금균등상환,1700,20,590,660,없음,0,0,없음,0,0,0,0,6,1240,2.5,24,1,기타 교육,,
USR00118,3500,3100,400,1,3500,0,0,0,0,1,사전 상담 완료,9100,11.42,120,만기일시상환,8000,100,300,410,차량 구입,700,6,없음,0,0,0,0,120,0,1.5,12,3,기타 서비스,서양식,화장품
USR00119,9200,6500,2700,1,9200,0,0,0,0,1,검토 중,4100,9.34,60,만기일시상환,0,0,410,210,교육,3400,12,없음,0,0,0,0,60,1360,5.5,36,1,기타 외국식,,
USR00120,12400,9600,2800,1,12400,0,0,0,0,1,승인 완료,7000,10.78,24,원금균등상환,0,0,530,300,없음,0,0,없음,0,0,0,0,12,1430,4,6,1,기타 외식,,
USR00121,5200,4600,600,1,5200,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,21800,340,520,350,없음,0,0,없음,0,0,0,0,60,940,0,12,1,기타도소매,,
USR00122,1700,1300,400,1,1700,0,0,1,5300,1,사전 상담 완료,3000,3.83,12,원금균등상환,0,0,400,680,결혼,2000,36,없음,0,0,0,0,6,520,2.5,12,1,기타도소매,,
USR00123,7600,6400,1200,1,7600,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,14300,480,540,250,없음,0,0,없음,0,0,0,0,24,1280,4,36,1,분식,,
USR00124,1600,1300,300,1,1600,1,3700,0,0,1,사전 상담 완료,4100,7.4,84,원리금균등상환,0,0,320,160,없음,0,0,없음,0,0,1,2520,6,0,0,24,1,서양식,,
USR00125,10400,7500,2900,1,10400,0,0,1,4700,1,승인 완료,3300,10.76,84,원금균등상환,0,0,590,0,없음,0,0,없음,0,0,0,0,6,730,4.5,24,1,세탁,,
USR00126,4800,3400,1400,1,4800,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,300,250,기타,9100,12,없음,0,0,0,0,12,600,4.5,12,1,스포츠 관련,,
USR00127,2400,2100,300,1,2400,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,300,520,결혼,1600,24,없음,0,0,0,0,60,690,5,12,1,아이스크림/빙수 ,,
USR00128,14800,12900,1900,1,14800,0,0,1,2500,0,대출 계획 없음,0,0,0,해당 없음,0,0,580,420,의료,3400,36,없음,0,0,0,0,36,1280,4,6,1,안경,,
USR00129,16400,14300,2100,1,16400,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,15700,490,160,0,없음,0,0,없음,0,0,0,0,36,1430,2.5,6,1,기타도소매,,
USR00130,5300,4800,500,1,5300,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,210,600,기타,5200,24,없음,0,0,0,0,36,720,3,12,3,오락,아이스크림/빙수 ,피자
USR00131,9800,7300,2500,1,9800,0,0,0,0,1,승인 완료,1400,5.66,120,원리금균등상환,24800,550,430,580,차량 구입,2400,36,없음,0,0,0,0,60,530,5,6,1,운송,,
USR00134,3200,2600,600,1,3200,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,330,600,없음,0,0,없음,0,0,2,4900,120,980,7,3,1,음료 (커피 외),,
USR00135,4300,3400,900,1,4300,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,190,790,없음,0,0,없음,0,0,0,0,6,880,0,12,1,기타도소매,,
